Dish Name,Calories (kcal),Carbohydrates (g),Protein (g),Fats (g),Free Sugar (g),Fibre (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg),Folate (µg),Cholesterol (mg),Serving Unit,Serving Weight (g),Calories per Serving,Protein per Serving (g)
Buckwheat pancake (Khura),263.3,27.28,2.91,16.43,0.64,0.56,69.97,11.32,0.69,0.66,3.38,41.31,1 slice,80,210.6,2.3
Quinoa khichdi/khichri,64.01,8.83,3.18,1.59,0.69,2.58,69.64,24.59,1.12,9.13,82.57,2.61,1 medium bowl,250,160.0,8.0
Khakhra chaat,358.66,16.64,4.52,30.65,3.26,3.04,102.78,24.49,1.26,46.67,312.97,0.06,100g portion,100,358.7,4.5
Banana appam,469.81,20.06,1.17,42.53,9.95,0.67,20.14,13.74,0.77,4.03,13.79,0.0,100g portion,100,469.8,1.2
Veg manchurian,585.64,6.82,0.89,61.65,0.76,1.16,65.31,16.79,0.31,15.1,26.53,0.0,100g portion,100,585.6,0.9
Pav bhaji,96.53,11.99,2.66,4.32,2.06,1.98,163.89,24.86,0.97,76.48,170.49,8.91,1 katori (bowl),150,144.8,4.0
Rice murukku,593.99,33.29,5.41,48.22,0.17,2.18,63.31,24.63,1.7,0.0,8.2,5.32,1 medium bowl,175,1039.5,9.5
Bhel puri ,509.89,16.47,3.52,47.91,3.41,2.24,93.98,24.22,1.29,31.61,157.03,0.0,100g portion,100,509.9,3.5
Semolina dhokla (Suji/Rava dhokla),194.91,30.86,5.44,5.2,1.85,5.12,443.39,31.17,2.52,3.66,15.26,0.0,100g portion,100,194.9,5.4
Spicy corn chaat ,479.8,11.45,4.61,46.55,0.95,2.17,86.5,17.28,0.84,14.1,227.37,3.89,100g portion,100,479.8,4.6
Jackfruit fritters (Ponsa mulik/Kathal ka pakora),597.79,24.0,2.34,54.41,11.48,1.5,46.39,24.62,1.15,0.32,2.47,0.0,1 plate (6 pcs),150,896.7,3.5
Banana chips (Kele ke chips),665.67,7.32,0.37,70.46,4.37,0.65,86.87,2.01,0.19,4.03,8.97,0.0,100g portion,100,665.7,0.4
Wheat cake,314.63,41.13,4.79,14.95,25.79,2.76,82.96,98.91,1.08,0.76,7.6,40.13,1 slice,80,251.7,3.8
Mango cheesecake,152.46,20.06,2.39,7.3,15.36,1.14,107.12,55.1,0.53,24.93,68.68,16.9,1 slice,80,122.0,1.9
Carrot cake (Gajar ka cake),255.59,35.98,5.6,10.27,23.96,2.93,158.74,156.1,1.03,3.12,17.06,11.61,1 slice,80,204.5,4.5
Semolina cake (Suji/Rava cake),374.14,31.32,6.58,25.18,18.86,5.37,91.36,128.28,1.36,0.94,9.42,27.06,1 slice,80,299.3,5.3
Finger millet cake (Ragi cake),279.46,38.93,3.96,12.27,24.76,2.35,98.26,118.38,1.35,0.76,11.41,25.2,1 slice,80,223.6,3.2
Honey cake,333.59,49.04,3.08,14.7,33.43,0.51,72.55,50.86,0.46,0.53,10.06,1.54,1 slice,80,266.9,2.5
Almond cardamom cake (Badam elaichi cake),356.35,34.53,7.18,21.36,18.06,2.35,155.37,81.29,1.29,0.37,10.86,74.32,1 slice,80,285.1,5.7
Tutti frutti cake,347.72,52.94,4.49,12.68,28.08,0.85,106.36,61.41,0.62,1.9,76.45,2.46,1 slice,80,278.2,3.6
